Date,OECD_GDP_Change,Bitcoin_Price,Gold_Price,OECD_CPI,WM2NS,VIX
31/03/2012,0.5133284,4.9,1669.300049,2.747305,9882.3,15.5
30/06/2012,0.1386086,6.7,1603.5,2.181711,9903.1,17.07999992
30/09/2012,0.13361,12.4,1771.099976,2.061247,10111.1,15.72999954
31/12/2012,0.04528779,13.5,1674.800049,2.021016,10630.8,18.02000046
31/03/2013,0.6024702,93,1594.800049,1.715966,10596.4,12.69999981
30/06/2013,0.5881023,97.5,1223.800049,1.536293,10573.3,16.86000061
30/09/2013,0.7161785,141.9,1326.5,1.728941,10840.3,16.60000038
31/12/2013,0.5620773,805.9,1201.900024,1.478175,11140.6,13.72000027
31/03/2014,0.3577197,444.7,1283.400024,1.575313,11315.4,13.88000011
30/06/2014,0.4886878,635.1,1321.800049,2.072536,11343.1,11.56999969
30/09/2014,0.7903153,388.2,1210.5,1.866481,11451.4,16.30999947
31/12/2014,0.5568784,318.2,1183.900024,1.490837,11799.9,19.20000076
31/03/2015,0.8278634,244.1,1183.099976,0.6524277,11970.5,15.28999996
30/06/2015,0.5525181,264.1,1171.5,0.6584636,11958.2,18.22999954
30/09/2015,0.5268364,235.9,1115.5,0.6365093,12084,24.5
31/12/2015,0.3079556,430,1060.300049,0.823932,12464.1,18.20999908
31/03/2016,0.5212156,415.7,1234.199951,1.101843,12735,13.94999981
30/06/2016,0.3681669,670,1318.400024,0.9652599,12738.8,15.63000011
30/09/2016,0.4305769,608.1,1313.300049,1.119932,12939.2,13.28999996
31/12/2016,0.8287456,963.4,1150,1.630424,13298.9,14.03999996
31/03/2017,0.6787545,1079.1,1247.300049,2.432522,13473.6,12.36999989
30/06/2017,0.7281335,2480.6,1240.699951,2.190815,13454.3,11.18000031
30/09/2017,0.7559989,4360.6,1281.5,2.218066,13620.1,9.510000229
31/12/2017,0.8491311,13850.4,1306.300049,2.34265,13941.9,11.03999996
31/03/2018,0.5838887,6938.2,1322.800049,2.241599,14002.9,19.96999931
30/06/2018,0.5334757,6398.9,1251.300049,2.566573,13997.9,16.09000015
30/09/2018,0.2456595,6635.2,1191.5,2.907388,14126.5,12.11999989
31/12/2018,0.1824353,3709.4,1278.300049,2.74279,14544.7,25.42000008
31/03/2019,0.5542887,4102.3,1293,2.168842,14550.3,13.71000004
30/06/2019,0.6512543,10818.6,1409.699951,2.284666,14676.2,15.07999992
30/09/2019,0.5813283,8284.3,1465.699951,1.938074,15032.8,16.23999977
31/12/2019,0.07879553,7196.4,1519.5,1.908506,15473.1,13.77999973
31/03/2020,-1.717153,6412.5,1583.400024,2.134893,16629.2,53.54000092
30/06/2020,-10.09418,9135.4,1793,0.8742036,18174.2,30.43000031
30/09/2020,9.437245,10776.1,1887.5,1.216576,18501.7,26.37000084
31/12/2020,1.139013,28949.4,1893.099976,1.193299,19294.3,22.75
31/03/2021,0.9398377,58763.7,1713.800049,1.92286,20100.9,19.39999962
30/06/2021,1.756908,35026.9,1770.800049,3.737336,20336.6,15.82999992
30/09/2021,1.268457,43823.3,1755.300049,4.393714,20843.5,23.13999939
31/12/2021,1.371584,46219.5,1827.5,5.86463,21751.7,17.21999931
31/03/2022,0.1793195,45525,1949.199951,7.876202,21852.5,20.55999947
30/06/2022,0.4843321,19926.6,1804.099976,9.728262,21528.3,28.70999908
30/09/2022,0.4749607,19423,1662.400024,10.39462,21356,31.62000084
31/12/2022,0.2069753,16537.4,1819.699951,10.14289,21393.7,21.67000008
31/03/2023,0.4610825,28473.7,1969,8.585089,20861.6,18.70000076
30/06/2023,0.480884,30472.9,1921.099976,6.511093,20636.7,13.59000015
30/09/2023,0.4146932,26962.7,1848.099976,6.166354,20548.4,17.52000046
